condition;iter;t;dt;5FTHFabc;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;GLCpts;LIPTA;NACabc;PIabc;RIBFLVabc;THMDabc;trdoxt;trdrdt;AAabc;ACt;FAt;FORt;GLYCt;H2Ot;Ht;L_LACt2r;NH3t;O2t;URAt2;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
67;0;0;0.01;0.395221;29.216;0.235647;18.7268;1.1217;19.2481;239.389;0.0754895;0.442211;64.7236;0.162751;2.52387;9.01668;8.9436;42.1194;1.60653;0.315012;4.21785e-09;0.1182;4.21785e-09;4.21785e-09;115.605;4.94538;0.497292;4.65959;0.457939;15.3954;4.47158;0.942891;1551.57;142.358;10.754;4.5698;0.261923;4.21785e-09;0.0854746;21.0922;242.132;0.0768932;0.874728;2.52365;2.3728;0.0571635;0.038336;0.285462;94.6284;0.97472;0.904823;0.904969;9.01936;9.26821;235.1;0.798543;213.463;21.0365;0.255302;0.512046;1190.49;0.570246;19.6634;0.556754;12.2526;964.766;0.644111;1.05864;0.117545;0.252328;0.193982;0.22585;19.5617;0.0791484;1683.14;1687.14;483.603;178.761;1237.82;15.9146;371.712;235.137;0.216118;0.138568;0.240431;45.6632;9.30553;62.0633;0.251049;24.9315;7.27459;8.39025;23.339;4.21785e-09;1.68844;320.296;0.541914;1.66276;21.1758;0.0722579;15.1759;12.9676;12.9303;12.9915;12.9324;12.2167;2.34945;2.49921;106.694;9.55805;0.353537;0.316211;33.6331;20.316;7.07486;42.2137;1557.25;20.0642
67;100;6.016e-05;6.4e-07;0.717344;59.1914;0.479224;37.9414;2.2707;38.9977;485.038;0.163941;0.893148;131.139;0.328516;5.11179;18.272;18.1182;85.3382;3.25222;0.641131;8.54598e-09;0.242329;0.0231858;0.00337213;234.23;10.0172;1.01043;9.44385;0.925816;31.1989;9.06047;1.91022;3143.68;288.458;21.7893;9.25882;0.533322;0.00223704;0.173183;42.7331;490.592;0.152005;1.76838;5.10954;4.8035;0.116044;0.0776913;0.578369;191.732;1.97074;1.83172;1.82954;18.2721;18.7852;476.35;1.6139;432.514;42.6704;0.515816;1.03662;2412.09;1.1559;39.8374;1.12282;24.8255;1954.77;1.30456;2.14496;0.235098;0.498087;0.392981;0.43027;39.6456;0.161742;3410.28;3418.39;979.845;362.205;2508;32.2452;753.145;476.423;0.43695;0.281893;0.487148;92.5321;18.8539;125.716;0.509117;50.5159;14.7359;16.9965;47.2881;8.54598e-09;3.42012;648.964;1.09705;3.36806;42.8872;0.142851;30.739;26.2743;26.2047;26.32;26.2029;24.7435;4.75613;5.05998;216.179;19.366;0.716324;0.64068;68.1421;41.1633;14.3165;85.5849;3155.24;40.505
67;200;0.00018432;1.28e-06;0.792366;69.3946;0.566718;44.4826;2.66213;45.721;568.66;0.221626;1.04718;153.752;0.384961;5.99303;21.4216;21.2425;100.052;3.81352;0.751144;0.000633437;0.283475;0.0573164;0.00529937;274.613;11.7449;1.18404;11.0714;1.08598;36.5814;10.6238;2.23893;3685.67;338.226;25.5465;10.8541;0.630751;0.00881402;0.203037;50.0979;575.17;0.175724;2.07038;5.98802;5.62893;0.136883;0.0911488;0.677999;224.795;2.30809;2.1515;2.1423;21.4224;22.0385;558.48;1.88945;507.094;50.0822;0.605291;1.21171;2827.93;1.35591;46.7032;1.31296;29.1051;2291.79;1.52872;2.51476;0.268468;0.566982;0.460262;0.461423;46.4949;0.192718;3998.23;4007.74;1148.77;424.669;2940.4;37.8045;882.999;558.563;0.507332;0.333056;0.571133;108.51;22.1025;147.338;0.598589;59.2294;17.2698;19.9205;55.4413;1.00194e-08;4.00711;760.838;1.28345;3.94606;50.2779;0.165148;36.025;30.804;30.7366;30.8522;30.72;28.9885;5.57337;5.92988;253.445;22.7047;0.839842;0.751099;79.8886;48.2599;16.7812;100.412;3699.23;47.3117
67;300;0.00043264;2.56e-06;0.868319;75.9676;0.627787;48.6977;2.91328;50.0535;622.564;0.294044;1.14578;168.332;0.419578;6.55986;23.4478;23.2606;109.538;4.17942;0.818142;0.00520726;0.305831;0.101118;0.00667723;300.648;12.8626;1.29187;12.1164;1.18809;40.0541;11.6337;2.44995;4035.02;370.326;27.9835;11.8804;0.698588;0.0434028;0.222271;54.8396;629.682;0.188771;2.26167;6.55213;6.15853;0.152108;0.0999592;0.74201;246.116;2.52423;2.36446;2.34149;23.453;24.1532;611.421;2.06458;555.166;54.8937;0.663421;1.31679;3095.97;1.48542;51.1265;1.43244;31.8572;2509.02;1.67257;2.75314;0.267201;0.612426;0.496624;0.444894;50.9069;0.215379;4377.2;4387.64;1257.66;464.941;3219.12;41.3894;966.706;611.512;0.538506;0.368327;0.625262;118.831;24.192;161.247;0.659921;64.8534;18.8994;21.8017;60.6997;1.09691e-08;4.38175;832.938;1.39977;4.31486;55.04;0.177419;39.4197;33.7236;33.6732;33.7694;33.6298;31.7017;6.09768;6.48839;277.452;24.8567;0.919503;0.822189;87.46;52.8279;18.3681;110.017;4049.87;51.5837
67;400;0.0007808;1.024e-06;0.907672;79.3749;0.665614;50.8856;3.04293;52.3023;650.558;0.307278;1.19656;175.905;0.436295;6.85343;24.4974;24.3113;114.465;4.37217;0.85048;0.0104303;0.314593;0.143523;0.010489;314.169;13.4458;1.34517;12.6563;1.2405;41.8601;12.1607;2.55858;4216.42;387.014;29.2581;12.4109;0.738204;0.0904942;0.232246;57.2955;657.985;0.193655;2.35646;6.84328;6.43145;0.162521;0.104724;0.777081;257.196;2.63727;2.48271;2.44288;24.5096;25.2624;638.91;2.15339;580.122;57.4186;0.694023;1.36606;3235.15;1.55315;53.4216;1.49189;33.2744;2621.83;1.74671;2.87696;0.243222;0.617486;0.502754;0.442846;53.2028;0.22934;4573.99;4584.9;1314.21;485.861;3363.85;43.2542;1010.17;639.008;0.53896;0.3886;0.653359;124.192;25.2786;168.451;0.696888;67.7823;19.7446;22.7775;63.4337;1.14622e-08;4.57203;870.372;1.45584;4.5021;57.5115;0.182019;41.1738;35.239;35.2122;35.2818;35.1371;33.0882;6.36786;6.77657;289.906;25.9738;0.960924;0.858981;91.3924;55.1882;19.1902;115.045;4231.94;53.7128
67;500;0.00091904;2.048e-06;0.917151;80.1858;0.675922;51.4072;3.07369;52.8383;657.233;0.310425;1.20857;177.712;0.440012;6.92326;24.7471;24.5624;115.64;4.41865;0.857751;0.0122282;0.316129;0.157061;0.0123128;317.394;13.5854;1.35737;12.7844;1.25286;42.2915;12.287;2.58431;4259.67;390.998;29.5634;12.5369;0.748719;0.105975;0.234621;57.88;664.733;0.194291;2.37752;6.91221;6.49595;0.165633;0.105908;0.786358;259.838;2.66474;2.51269;2.46649;24.7627;25.5257;645.464;2.17397;586.072;58.0252;0.701387;1.37783;3268.34;1.56937;53.9683;1.50535;33.6106;2648.73;1.76429;2.9065;0.231782;0.617369;0.502327;0.443011;53.7516;0.233236;4620.91;4631.94;1327.69;490.85;3398.36;43.6996;1020.53;645.564;0.536146;0.393959;0.660056;125.466;25.5413;170.164;0.706986;68.4823;19.9463;23.0104;64.0865;1.15798e-08;4.61641;879.298;1.46819;4.54575;58.1004;0.18262;41.5915;35.6003;35.5812;35.6424;35.4955;33.4144;6.4317;6.84476;292.874;26.2401;0.970814;0.867721;92.3302;55.7495;19.3858;116.252;4275.36;54.2057
67;600;0.00119552;4.096e-06;0.931395;81.318;0.692225;52.1367;3.11689;53.5881;666.568;0.31512;1.22573;180.24;0.445168;7.02111;25.0958;24.9144;117.285;4.48449;0.867237;0.0156019;0.317419;0.180312;0.0160608;321.904;13.7814;1.37364;12.9629;1.27046;42.8955;12.4645;2.6218;4320.16;396.569;30.0045;12.7122;0.765111;0.107707;0.237937;58.6973;674.171;0.194703;2.4048;7.00816;6.58562;0.170885;0.107633;0.798437;263.535;2.7045;2.55764;2.49899;25.1178;25.8945;654.629;2.20222;594.393;58.8795;0.712048;1.3926;3314.74;1.59215;54.7323;1.52351;34.0769;2686.34;1.78875;2.94791;0.208399;0.618525;0.497488;0.443853;54.5208;0.239607;4686.53;4697.71;1346.55;497.83;3446.62;44.3235;1035.02;654.733;0.528433;0.402331;0.669416;127.25;25.9101;172.564;0.72295;69.4633;20.2294;23.3369;65.0006;0.00135015;4.67705;891.782;1.484;4.60536;58.9237;0.183013;42.1728;36.1064;36.0965;36.1464;35.9965;33.8666;6.52046;6.93968;297.022;26.6123;0.984664;0.879896;93.6419;56.531;19.6588;117.949;4336.07;54.8758
67;700;0.00151747;1.6384e-06;0.942857;82.235;0.707299;52.7292;3.15208;54.197;674.149;0.31839;1.2399;182.296;0.449233;7.10066;25.3783;25.201;118.621;4.53868;0.874398;0.0191096;0.317699;0.203192;0.0205717;325.568;13.9413;1.38618;13.1071;1.28496;43.387;12.6094;2.65272;4369.29;401.096;30.3718;12.8539;0.780275;0.108974;0.240625;59.3622;681.835;0.194305;2.42413;7.0854;6.65764;0.176157;0.109109;0.806243;266.536;2.73828;2.59739;2.5246;25.4075;26.1949;662.072;2.22434;601.152;59.5784;0.720989;1.40316;3352.43;1.61073;55.3521;1.53727;34.4518;2716.89;1.8085;2.98211;0.182451;0.618137;0.48944;0.443942;55.1473;0.245808;4739.82;4751.13;1361.87;503.501;3485.82;44.8312;1046.79;662.179;0.518426;0.410148;0.677011;128.698;26.2105;174.511;0.737974;70.2616;20.461;23.6038;65.7441;0.00747063;4.72462;901.921;1.49514;4.65209;59.5922;0.182643;42.6414;36.5151;36.5071;36.5555;36.4085;34.2358;6.59174;7.01604;300.391;26.9143;0.995931;0.889725;94.7071;57.1626;19.8802;119.335;4385.38;55.4034
67;800;0.00173701;3.2768e-06;0.94862;82.7082;0.715942;53.0358;3.17026;54.5122;678.073;0.319511;1.24725;183.36;0.451209;7.14182;25.5245;25.3498;119.313;4.56708;0.87787;0.021288;0.317482;0.216958;0.0236626;327.465;14.0244;1.39236;13.1814;1.29246;43.6422;12.6849;2.66889;4394.71;403.442;30.5653;12.9268;0.789093;0.109625;0.242013;59.7067;685.802;0.193607;2.43257;7.12492;6.69438;0.179405;0.109913;0.809692;268.09;2.75639;2.61955;2.53732;25.5582;26.3509;665.925;2.23526;604.651;59.9427;0.725705;1.4081;3371.93;1.62038;55.6724;1.54372;34.6442;2732.7;1.81867;3.00342;0.169338;0.617137;0.483344;0.443433;55.4723;0.249584;4767.41;4778.79;1369.8;506.438;3506.11;45.0944;1052.88;666.034;0.511385;0.414751;0.680939;129.448;26.3665;175.516;0.746815;70.6755;20.582;23.743;66.1295;0.0126102;4.74836;907.169;1.49998;4.67539;59.9381;0.181989;42.8825;36.7252;36.7172;36.7671;36.6237;34.4275;6.6281;7.0551;302.135;27.07;1.00177;0.894784;95.2583;57.4885;19.9946;120.056;4410.91;55.6689
67;900;0.00200702;1.31072e-06;0.95458;83.1851;0.725336;53.3458;3.18856;54.8308;682.041;0.322104;1.25463;184.438;0.453041;7.18333;25.6723;25.5005;120.013;4.59608;0.881198;0.0237929;0.316959;0.232354;0.0274188;329.383;14.1087;1.39837;13.2562;1.29996;43.901;12.7616;2.68539;4420.42;405.815;30.7635;13.0002;0.798863;0.110286;0.243413;60.0548;689.813;0.192374;2.43966;7.16436;6.73093;0.18314;0.110761;0.812992;269.662;2.77512;2.64321;2.54962;25.7111;26.509;669.82;2.24575;608.188;60.3127;0.730504;1.41262;3391.66;1.63016;55.9956;1.54951;34.8374;2748.69;1.8289;3.03236;0.160526;0.615845;0.475509;0.442707;55.8001;0.253935;4795.3;4806.74;1377.82;509.409;3526.62;45.3608;1059.04;669.931;0.50289;0.419924;0.684905;130.205;26.5247;176.531;0.756677;71.0943;20.7053;23.8845;66.5197;0.018915;4.7716;912.475;1.50411;4.69818;60.2877;0.180831;43.1251;36.9373;36.9291;36.9808;36.8417;34.6208;6.66427;7.09405;303.898;27.2263;1.00768;0.899871;95.815;57.8172;20.1101;120.788;4436.71;55.9317
