# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	1	1353	+					dnaA		JCVISYN3A_0001	1353		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	1	1353	+	AVX54569.1			Chromosomal replication initiator protein	dnaA		JCVISYN3A_0001	1353	450	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	1511	2638	+					dnaN		JCVISYN3A_0002	1128		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	1511	2638	+	AVX54570.1			DNA polymerase III subunit beta	dnaN		JCVISYN3A_0002	1128	375	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	2675	3217	+					rnmV		JCVISYN3A_0003	543		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	2675	3217	+	AVX54571.1			Ribonuclease M5	rnmV		JCVISYN3A_0003	543	180	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	3207	4007	+					ksgA		JCVISYN3A_0004	801		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	3207	4007	+	AVX54572.1			16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	ksgA		JCVISYN3A_0004	801	266	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	4064	5155	+							JCVISYN3A_0005	1092		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	4064	5155	+	AVX54573.1			Uncharacterized protein			JCVISYN3A_0005	1092	363	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	5515	7419	+					gyrB		JCVISYN3A_0006	1905		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	5515	7419	+	AVX54574.1			DNA gyrase subunit B	gyrB		JCVISYN3A_0006	1905	634	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	7435	9939	+					gyrA		JCVISYN3A_0007	2505		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	7435	9939	+	AVX54575.1			DNA gyrase subunit A	gyrA		JCVISYN3A_0007	2505	834	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	9991	10968	-					rnsD; uptD		JCVISYN3A_0008	978		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	9991	10968	-	AVX54576.1			Nucleoside ABC transporter permease	rnsD; uptD		JCVISYN3A_0008	978	325	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	10968	13535	-					rnsC; uptD		JCVISYN3A_0009	2568		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	10968	13535	-	AVX54577.1			Nucleoside ABC transporter permease	rnsC; uptD		JCVISYN3A_0009	2568	855	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	13525	15141	-					rnsA; uptA		JCVISYN3A_0010	1617		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	13525	15141	-	AVX54578.1			Nucleoside ABC transporter ATP-binding protein	rnsA; uptA		JCVISYN3A_0010	1617	538	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	15153	16799	-					rnsB; uptB		JCVISYN3A_0011	1647		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	15153	16799	-	AVX54579.1			Nucleoside ABC transporter substrate-binding protein	rnsB; uptB		JCVISYN3A_0011	1647	548	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	16986	18515	-					metRS		JCVISYN3A_0012	1530		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	16986	18515	-	AVX54580.1			Methionine--tRNA ligase	metRS		JCVISYN3A_0012	1530	509	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	18716	19378	-							JCVISYN3A_0918	663		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	18716	19378	-	AVX54581.1			Imidazoleglycerol-phosphate dehydratase			JCVISYN3A_0918	663	220	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	20416	22335	+					tetM		JCVISYN3A_0913	1920		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	20416	22335	+	AVX54582.1			Tetracycline resistance ribosomal protection protein	tetM		JCVISYN3A_0913	1920	639	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	22769	22996	-					rpsR		JCVISYN3A_0025	228		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	22769	22996	-	AVX54583.1			30S ribosomal protein S18	rpsR		JCVISYN3A_0025	228	75	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	23016	23456	-					priB		JCVISYN3A_0026	441		
