p_id;copy_per_cell;mass;fg_per_cell;mg_per_gP
protein_0001;147.8093574;51702.7783;0.0126903926209194;2.26543230739235
protein_0002;213.0958008;42649.6889;0.0150921116074666;2.69417647220507
protein_0003;65.3179291;20634.5673;0.00223813883080468;0.399542564772667
protein_0004;40.41604054;31176.8505;0.0020924026132805;0.37352638502168
protein_0005;72.17121881;42663.142;0.00511300391299253;0.912750660938777
protein_0006;243.6391826;71583.4377;0.0289613587660678;5.17005263544614
protein_0007;298.2986156;94518.7186;0.0468196660688575;8.3580380294039
protein_0008;4.80071602;34308.356;0.000273504939005419;0.0488248822209694
protein_0009;175.3491799;97527.9433;0.0283982810943021;5.06953452010536
protein_0010;145.137619;59922.4356;0.014442045213658;2.5781295180662
protein_0011;80.8452633;60711.9296;0.00815056780797586;1.45500302373173
protein_0012;247.6515816;59376.2005;0.0244181500551706;4.35901927341078
protein_0025;208.7019915;8914.6302;0.00308950693494859;0.551525002686495
protein_0026;106.8555596;16621.2482;0.00294930716981317;0.52649716573029
protein_0029;281.4484874;22306.41;0.0104252828857925;1.86107501703661
protein_0030;376.6668084;38760.157;0.0242438801565475;4.32790938813459
protein_0033;60.52875438;121610.7362;0.0122234247449697;2.18207128427105
protein_0034;8.800114681;206391.3199;0.00301605327845061;0.538412383440002
protein_0039;147.7850447;71685.2864;0.0175921840832884;3.14047826338944
protein_0040;39.20953498;47537.4701;0.00309518780595592;0.552539126449137
protein_0042;120.5500575;31400.8304;0.00628590486593781;1.12213170938588
protein_0043;22.13349119;27853.0974;0.00102372349039706;0.18275055297808
protein_0044;31.89870139;28732.8814;0.00152198871446842;0.271698639138993
protein_0045;92.22688139;24436.7764;0.00374249033310653;0.66809268743561
protein_0046;33.4985372;22366.6067;0.00124418566352992;0.222106477139938
protein_0047;113.2804652;77055.1266;0.0144949196069294;2.58756841899929
protein_0054;156.667207;17462.5389;0.00454302091762181;0.81099983801715
protein_0060;9.75642721;31128.1111;0.00050431609121877;0.0900282599847612
protein_0061;245.8314311;48760.4773;0.0199051111188609;3.55337168501531
protein_0063;70.68491408;36429.7432;0.00427604328802468;0.763340181968106
protein_0064;213.5249701;58091.6629;0.0205978422181697;3.67703495214878
protein_0065;425.9407773;11519.3285;0.00814771128406516;1.45449308981972
protein_0066;370.8174431;32163.4706;0.0198053403007539;3.53556104342003
protein_0076;735.9725645;52480.0542;0.0641379609343623;11.4496228108383
protein_0079;37.6187926;35060.0798;0.00219016584280247;0.390978640854096
protein_0080;25.920313;8317.3731;0.000358002182148423;0.0639089533147351
protein_0081;151.6812332;50427.434;0.0127015864766383;2.26743058460468
protein_0082;190.2587308;8954.3073;0.00282901883442573;0.505023828432597
protein_0095;573.1865185;107629.7344;0.102444225751936;18.2878864079949
protein_0097;70.57477881;35419.7463;0.00415101421559086;0.741020549430656
protein_0105;6.88273197;8408.4061;9.6102300699457e-05;0.0171557542246877
protein_0106;14.65691686;54419.9516;0.00132452458672604;0.236448223497697
protein_0107;17.67854055;15563.906;0.00045690326027464;0.0815643328065979
protein_0108;68.85891189;41594.3618;0.00475613167437227;0.849043420104554
protein_0109;22.29091103;33129.6408;0.00122631995272112;0.218917170105097
protein_0113;79.49178479;52779.821;0.00696705774192415;1.24372808371625
protein_0114;43.28320918;35820.4947;0.00257460306381797;0.459606659440139
protein_0115;335.9627801;33067.707;0.0184482211478782;3.29329418330432
protein_0116;62.0292707;17491.4927;0.0018017013212145;0.321631686526583
protein_0117;1.227286377;28543.8342;5.81724657273442e-05;0.010384689205136
protein_0126;137.6191822;56388.4913;0.012886313613746;2.30040724946892
protein_0127;51.57300279;47942.852;0.00410587319820086;0.732962176278726
protein_0128;21.5582603;16713.7557;0.000598338585139835;0.10681273637671
protein_0129;306.1231988;59650.8122;0.0303229781495883;5.41312285667114
protein_0131;227.1558935;32786.4369;0.0123673735780486;2.20776838812037
protein_0132;92.93070574;41351.2499;0.00638127007047178;1.13915588048963
protein_0133;87.67612026;87117.6869;0.0126837276542966;2.26424250726827
protein_0137;44.47586099;10444.7463;0.000771403328652635;0.137707482736107
protein_0138;108.333131;75480.4215;0.0135785957992274;2.42399037850754
protein_0139;186.9045951;36092.4783;0.0112020093703372;1.99973276582794
protein_0140;202.0724203;23942.2856;0.00803400132631325;1.43419409516618
protein_0141;329.8342541;41294.1271;0.0226174321001978;4.03756313304108
protein_0142;17.13028801;33024.9329;0.000939433098784332;0.167703408097199
protein_0143;39.53863375;57465.367;0.00377300248940939;0.673539581532706
protein_0144;55.12499606;19055.9519;0.00174436943441888;0.311397053724406
protein_0145;164.5115062;35439.529;0.00968151825773593;1.72830147189685
protein_0146;28.41080907;28901.7779;0.00136353851494594;0.243412816010142
protein_0147;15.15257345;59892.1466;0.00150700788846673;0.269024328876936
protein_0148;121.7504082;15489.1635;0.00313153765991621;0.559028140303199
protein_0149;498.0548558;17910.6341;0.0148131489272037;2.64437729834952
protein_0150;672.444429;76153.9241;0.0850370010088572;15.1804262613322
protein_0151;541.8981829;43303.6945;0.0389674416512898;6.95629393748911
protein_0163;430.6295633;103846.6842;0.0742601332899352;13.2565878875143
protein_0164;9.192787415;19471.0226;0.000297231769369745;0.0530604901855927
protein_0165;59.15033926;46301.8461;0.00454794072597029;0.811878100267323
protein_0166;64.17060662;37982.6285;0.00404743990678695;0.722530925634981
protein_0167;241.6293606;65346.7552;0.0262200177287624;4.68068065642205
protein_0168;240.5767996;72266.4245;0.0288701845312936;5.15377661757742
